Event	ID	Name			Wwise Object Path	Notes
	85912737	Green_Pickup			\Default Work Unit\Green_Pickup	
	262701974	Soul_Pickup_Event			\Default Work Unit\Soul_Pickup_Event	
	585247752	Blue_Charge			\Default Work Unit\Blue_Charge	
	623275868	Jump_Event			\Default Work Unit\Jump_Event	
	874472897	Red_Pickup			\Default Work Unit\Red_Pickup	
	1405974339	All_Souls			\Default Work Unit\All_Souls	
	1447584249	Portal_Unlocked			\Default Work Unit\Portal_Unlocked	
	2513134197	Green_Crystal			\Default Work Unit\Green_Crystal	
	3037934171	Next_Event			\Default Work Unit\Next_Event	
	3086811463	Flame_Talk			\Default Work Unit\Flame_Talk	
	3444629296	Blue_Pickup			\Default Work Unit\Blue_Pickup	
	3547709259	Blue_Explode			\Default Work Unit\Blue_Explode	
	3712923413	Red_Crystal			\Default Work Unit\Red_Crystal	
	4170490160	Purple_Crystal			\Default Work Unit\Purple_Crystal	
	4238973550	Purple_Pickup			\Default Work Unit\Purple_Pickup	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	55369523	Magic_v1_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Magic_v1_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Magic_v1_wav		352896
	71373671	Medium_Jump_v3_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Medium_Jump_v3_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Medium_Jump_v3_wav		99324
	73961009	Ghost_Laugh_v2_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Ghost_Laugh_v2_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pickup\Ghost_Laugh_v2_wav		264696
	90842670	Destroy_Piece_Magical_v1_variation_02_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Destroy_Piece_Magical_v1_variation_02_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destroy_Piece_Magical_v1_variation_02_wav		158856
	113620854	Riser_v3_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Riser_v3_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Riser_v3_wav		198548
	152754635	Magical_Loot_No_Chest_v1_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Magical_Loot_No_Chest_v1_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Magical_Loot_No_Chest_v1_wav		396996
	168262989	Ghost_Pass_By_v3_variation_02_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Ghost_Pass_By_v3_variation_02_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pickup\Ghost_Pass_By_v3_variation_02_wav		220596
	177275669	Magical_Creature_v1_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Magical_Creature_v1_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Flame\Magical_Creature_v1_wav		441096
	266700315	Click_v3_variation_01_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Click_v3_variation_01_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Click_v3_variation_01_wav		198548
	390129946	Destroy_Piece_Magical_v1_variation_03_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Destroy_Piece_Magical_v1_variation_03_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destroy_Piece_Magical_v1_variation_03_wav		282656
	471281296	Success 1	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Success 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Success 1		665764
	521779838	Click_v3_variation_02_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Click_v3_variation_02_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Click_v3_variation_02_wav		264696
	546864073	Find_Item_Press_Button_Reverb_v1_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Find_Item_Press_Button_Reverb_v1_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Find_Item_Press_Button_Reverb_v1_wav		220596
	625478906	Wind_Spell_v2_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Wind_Spell_v2_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wind_Spell_v2_wav		352896
	638313987	Ghost_Pass_By_v5_variation_02_wav	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Ghost_Pass_By_v5_variation_02_wav_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pickup\Ghost_Pass_By_v5_variation_02_wav		220596
	701161077	Success 6	E:\Repos\Unity2D\Soul-Collector\GenerationGameJam2022_WwiseProject\.cache\Windows\SFX\Success 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Success 6		532760
